run_id,run,site,instr,mooring_type,instr_model,instr_id,freq,latitude,longitude,water_depth,instr_elevation_from_bottom,instr_depth_from_top,timestamp_start_utc,timestamp_end_utc,comment
1,1,VPS-002,receiver,stationary,VR2Tx,483808,69,45.54033813,-84.00390409,46,6.1,39.9288,2021-09-20T14:22:00Z,2021-09-28T14:00:00Z,
1,1,VPS-002,tag,stationary,VR2Tx-H,A69-1601-63808,69,45.54033813,-84.00390409,46,6.1,39.9288,2021-09-20T14:22:00Z,2021-09-28T14:00:00Z,
1,1,VPS-003,receiver,stationary,VR2Tx,483888,69,45.5426455,-84.00945283,43.9,6.1,37.7952,2021-09-20T14:22:00Z,2021-09-28T14:00:00Z,
1,1,VPS-003,tag,stationary,VR2Tx-H,A69-1601-63888,69,45.5426455,-84.00945283,43.9,6.1,37.7952,2021-09-20T14:22:00Z,2021-09-28T14:00:00Z,
1,1,VPS-004,receiver,stationary,VR2Tx,480026,69,45.54498542,-84.01491483,43.9,6.1,37.7952,2021-09-20T14:22:00Z,2021-09-28T14:00:00Z,
1,1,VPS-004,tag,stationary,VR2Tx-H,A69-1601-62026,69,45.54498542,-84.01491483,43.9,6.1,37.7952,2021-09-20T14:22:00Z,2021-09-28T14:00:00Z,
1,1,VPS-005,receiver,stationary,VR2Tx,483846,69,45.53655806,-84.00720466,44.8,6.1,38.7096,2021-09-20T14:22:00Z,2021-09-28T14:00:00Z,
1,1,VPS-005,tag,stationary,VR2Tx-H,A69-1601-63846,69,45.53655806,-84.00720466,44.8,6.1,38.7096,2021-09-20T14:22:00Z,2021-09-28T14:00:00Z,
1,1,VPS-006,receiver,stationary,VR2Tx,483884,69,45.53894851,-84.01277041,43.9,6.1,37.7952,2021-09-20T14:22:00Z,2021-09-28T14:00:00Z,
1,1,VPS-006,tag,stationary,VR2Tx-H,A69-1601-63884,69,45.53894851,-84.01277041,43.9,6.1,37.7952,2021-09-20T14:22:00Z,2021-09-28T14:00:00Z,
1,1,VPS-007,receiver,stationary,VR2Tx,483871,69,45.54108047,-84.01823228,43,6.1,36.8808,2021-09-20T14:22:00Z,2021-09-28T14:00:00Z,
1,1,VPS-007,tag,stationary,VR2Tx-H,A69-1601-63871,69,45.54108047,-84.01823228,43,6.1,36.8808,2021-09-20T14:22:00Z,2021-09-28T14:00:00Z,
1,1,MBU-001,receiver,stationary,VR2Tx,480027,69,45.53806903,-83.99841083,46.6,4.6,42.0624,2021-09-20T14:22:00Z,2021-09-28T14:00:00Z,
1,1,MBU-001,tag,stationary,VR2Tx-H,A69-1601-62027,69,45.53806903,-83.99841083,46.6,4.6,42.0624,2021-09-20T14:22:00Z,2021-09-28T14:00:00Z,
1,1,VPS-001,receiver,stationary,VR2Tx,483815,69,45.53423,-84.00163,44.2,6.1,38.1,2021-09-20T14:22:00Z,2021-09-28T14:00:00Z,
1,1,VPS-001,tag,stationary,VR2Tx-H,A69-1601-63815,69,45.53423,-84.00163,44.2,6.1,38.1,2021-09-20T14:22:00Z,2021-09-28T14:00:00Z,
1,1,VPS-008,receiver,stationary,VR2Tx,483829,69,45.54721259,-84.02047761,43,6.1,36.8808,2021-09-20T14:22:00Z,2021-09-28T14:00:00Z,
1,1,VPS-008,tag,stationary,VR2Tx-H,A69-1601-63829,69,45.54721259,-84.02047761,43,6.1,36.8808,2021-09-20T14:22:00Z,2021-09-28T14:00:00Z,
1,1,MBU-002,receiver,stationary,VR2Tx,483868,69,45.54344072,-84.02374611,42.4,38.1,4.2672,2021-09-20T14:22:00Z,2021-09-28T14:00:00Z,
1,1,MBU-002,tag,stationary,VR2Tx-H,A69-1601-63868,69,45.54344072,-84.02374611,42.4,38.1,4.2672,2021-09-20T14:22:00Z,2021-09-28T14:00:00Z,
